Christchurch is Creative,Christchurch is Exciting,Christchurch is Revived,Christchurch is Energised,"Features that contribute the most to making christchurch a disticnt, unique and accessible city","Features that contribute the most to making Central Christchurch a disticnt, unique and accessible city",Reasons why you enjoy living in your neighbourhood,How much do you agree that the central city is somewhere that you and members of your community feel that you belong? (Comments)
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,,,Close to city,
Agree,Disagree,Disagree,Strongly Disagree,,,,
Strongly Agree,Neither agree nor disagree,Disagree,Agree,,,,
Agree,Agree,Agree,Agree,,,,
Strongly Agree,Disagree,Strongly Disagree,Disagree,,"Honestly, coming from overseas, Christchurch is a base for the great NZ outdoors. As a city, it really has little to recommend it.  It is not at all green, people chop down their trees all the time (compare to a place like Eugene Oregon on New England communties), there is far too  much drinking, and there are not enough activities for non-sports focused people.  The Art Museum is a great resource as are the botanic gardens, but overall, Christchurch is not a world class city by any measure.",,
Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,,,
Strongly Agree,Strongly Agree,Disagree,Strongly Agree,,,,
Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,,,,
Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,,,,
Disagree,Disagree,Disagree,Disagree,,The wrack and ruin of the city,,
Agree,Disagree,Agree,Neither agree nor disagree,,,,
Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,,,close to the city,
Strongly Agree,Agree,Agree,Agree,,,,
Neither agree nor disagree,Strongly Agree,Agree,Neither agree nor disagree,,,,
Strongly Agree,Agree,Neither agree nor disagree,Agree,,,Close to CBD - this was appealing pre-earthquake and is becomming an awesome factor again as the city regenerates,
,,,,,,,
Agree,Strongly Agree,Agree,Agree,,,,
,,,,,,,
Agree,Disagree,Strongly Disagree,Neither agree nor disagree,,,,
,,,,,,,
Strongly Agree,Agree,Agree,Neither agree nor disagree,,,,"With the big gaps, we don't currently belong as well as usual"
Agree,Disagree,Disagree,Disagree,,,,
Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,,,,I understand that I am more optimistic than most I talk to about this.
,,,,,,,
Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
Agree,Strongly Agree,Neither agree nor disagree,Agree,,,,
Agree,Agree,Agree,Agree,,,,
Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,,,,Not since the quakes.
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
Strongly Agree,Agree,Agree,Agree,,,,
,,,,,,,
Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,,,,
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,
Strongly Agree,Disagree,Neither agree nor disagree,Agree,,,,
Agree,Agree,Disagree,Disagree,,,,
Agree,Disagree,Strongly Disagree,Strongly Disagree,,,,
,,,,,,,
Agree,Neither agree nor disagree,Disagree,Disagree,,,,
Agree,Neither agree nor disagree,Strongly Agree,Agree,,,,
Agree,Neither agree nor disagree,Disagree,Disagree,,,,
Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,,,
,,,,,,,
Strongly Agree,Neither agree nor disagree,Disagree,Disagree,,,I have invaluable friends and neighbours here,
Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,,,jst don't go unless I hv to 
Agree,Agree,Agree,Agree,cycleways,,,
Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
Agree,Agree,Agree,Agree,,,,
,,,,,,,
Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,,,,
,,,,,,,
Disagree,Disagree,Disagree,Disagree,Lyttelton,Margaret Mahy Playground,,"no it is full of bums to lazy to get off their asses and find work, theres a frickin rebuild on and were getting migrant workers in where these lazy sods could be doing that work, anyone can use a shovel and a wheelbarrow, "
Agree,Disagree,Disagree,Disagree,,,,
,,,,,,, I feel their is little work done to reclaim the inner city after so many long years of waiting. 
Agree,Neither agree nor disagree,Disagree,Disagree,,,,
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,
Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
Neither agree nor disagree,Disagree,Disagree,Disagree,,,,
Agree,Agree,Neither agree nor disagree,Agree,,,,
Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,,,,parking is too difficult.
Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,,,It's still like a war zone!
Agree,Agree,Neither agree nor disagree,Agree,,,,
Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
Strongly Agree,Strongly Agree,Agree,Agree,,,,
,,,,,,,
Agree,Agree,Agree,Agree,,,,
Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
Agree,Disagree,Disagree,Disagree,,,,
Disagree,Disagree,Disagree,Disagree,,,,
Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,,,,
Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,,
Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
Neither agree nor disagree,Agree,Disagree,Agree,,,,
Agree,Disagree,Agree,Neither agree nor disagree,,,,
,,,,,,,
Agree,Agree,Disagree,Agree,,,,
Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,,,,
Agree,Agree,Agree,Agree,,,,
Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,,,
Agree,Neither agree nor disagree,Disagree,Disagree,When u leave this cracked up hole ,None of the above,,
,,,,,,,
Disagree,Disagree,Disagree,Disagree,,,,
Agree,Agree,Disagree,Disagree,,,,
Agree,Agree,Agree,Agree,,,,
Neither agree nor disagree,Disagree,Strongly Disagree,Strongly Disagree, Victoria street,Victoria street with through traffic!,,
,,,,,,,
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,Peace and quiet,
Strongly Agree,Strongly Agree,Agree,Strongly Agree,,,,
Agree,Disagree,Strongly Disagree,Disagree,,,,
Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
Agree,Disagree,Disagree,Disagree,,,Proximity to the Christchurch CBD and work,
Agree,Agree,Neither agree nor disagree,Agree,,,,still feels a bit sparse
Disagree,Disagree,Agree,Agree,,,,
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,
Agree,Disagree,Disagree,Disagree,University of Canterbury,,,
,,,,,,,
Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
Neither agree nor disagree,Disagree,Disagree,Disagree,,,,
Agree,Disagree,Disagree,Disagree,,,,
Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,,,,
,,,,,,,
Agree,Disagree,Disagree,Agree,,,,
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,
Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,,,,There is currently no good reason to go there except to see what has changed - once or twice a year is all that is needed. I used to live in the central city and felt like I very much belonged there - but it's very hard to belong somewhere you don't visit very often.
Strongly Agree,Agree,Agree,Agree,,,,
,,,,,,,
Neither agree nor disagree,Agree,Agree,Agree,,,,
Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,,,,
Agree,Strongly Agree,Agree,Agree,,,,"Good progress and variety of places to visit, but not enough arts culture events."
Neither agree nor disagree,Disagree,Strongly Disagree,Disagree,,,,
Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,,,,
,,,,,,,
Strongly Agree,Agree,Disagree,Agree,,,,
Agree,Agree,Disagree,Disagree,,,,There is nowhere to go to meet friends
Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,,,,
Disagree,Disagree,Disagree,Disagree,,,,
Agree,Agree,Neither agree nor disagree,Agree,,,,
Agree,Agree,Disagree,Agree,,,,
Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,,,,
Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
,,,,,,,
Agree,Neither agree nor disagree,Agree,Agree,,,,
Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,,,
Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,,,
Disagree,Disagree,Disagree,Disagree,,,,
Agree,Strongly Agree,Agree,Agree,,,,
Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,,,,
Neither agree nor disagree,Disagree,Strongly Disagree,Strongly Disagree,,,,
Agree,Neither agree nor disagree,Agree,Agree,,,,
,,,,,,,
Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,,,
Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
Agree,Agree,Agree,Agree,,,,
Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
,,,,,,Forced To,
Agree,Agree,Agree,Agree,,,,
Agree,Disagree,Disagree,Disagree,,,,
Agree,Neither agree nor disagree,Disagree,Disagree,,,,
Neither agree nor disagree,Agree,Agree,Agree,,,,
Agree,Agree,Disagree,Neither agree nor disagree,,,,
Disagree,Disagree,Strongly Disagree,Disagree,,,,
Strongly Agree,Neither agree nor disagree,Disagree,Agree,,,,"We all belong but we need a reason to be there, like shopping, attractions, night life.  We need more of these and fast."
Agree,Agree,Agree,Neither agree nor disagree,,,,
Strongly Agree,Strongly Agree,Disagree,Agree,,,Access to central city,
,,,,,,,
,,,,,,,
Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
