DistrictPlanHeritageItemID,HeritageItemStatus,HeritageItemSignificance,HeritageItemHeritageRegisterCategory,HeritageItemType,HeritageRegisterLink,EDMReference,HeritageItemName,HeritageRegisterNumber,ScheduleReference,HeritagePlaceDescription,HeritageAerialMapNumber,Locality
577,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting ,NULL,1190,Dwelling and Setting  and 55 Rue Balguerie ,600,Akaroa
578,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting ,NULL,1191,Dwelling and Setting  and 8 Rue Grehan ,595,Akaroa
579,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/7354,15/409200,Former Libeau Brick Kiln and Setting,7354,1192,Former Libeau Brick Kiln and Setting and 56 Rue Grehan ,607,Akaroa
580,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1193,Dwelling and Setting and Rose Cottage,610,Akaroa
581,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Dwelling/ Commercial Building and Setting,NULL,1195,Former Dwelling/ Commercial Building and Setting and 33 Rue Lavaud ,575,Akaroa
582,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Police Station and Setting,NULL,1196,Former Police Station and Setting and Former Police House,546,Akaroa
583,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1197,Dwelling and Setting and 91 Rue Lavaud ,541,Akaroa
584,Current,Significant,Not Listed,Unknown,NULL,15/409200,Trypot and Setting,NULL,1198,Trypot and Setting and Whale Pot,539,Akaroa
585,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Akaroa Post Office and Setting,NULL,1199,Former Akaroa Post Office and Setting and Post Office,540,Akaroa
586,Current,Significant,Not Listed,Unknown,NULL,15/409200,Lampstand and Setting,NULL,1200,Lampstand and Setting and Rowing Club Clubrooms & Boat House,594,Akaroa
595,Current,High Significance,Historic Area,Unknown,http://www.heritage.org.nz/the-list/details/7553,15/409200,Battery Point Battery ,7553,1229,Battery Point Battery ,767,Lyttelton
596,Current,Significant,Not Listed,Unknown,NULL,15/409200,The Akaroa Boating Club Boatshed and Setting,NULL,1230,The Akaroa Boating Club Boatshed and Setting and Rowing Club Clubrooms & Boat House,481,Akaroa
597,Current,Significant,Not Listed,Unknown,NULL,15/409200,Triangle Reserve and Setting,NULL,1279,Triangle Reserve and Setting and High Street Triangle,261,NULL
604,Current,High Significance,Not Listed,Unknown,NULL,15/409200,"The Esplanade War Memorials, Sea Walls and Setting",NULL,1288,"The Esplanade War Memorials, Sea Walls and Setting and Sumner War Memorials",456,Sumner
605,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Church of St Luke the Evangelist Bell Tower and Setting,NULL,1290,Former Church of St Luke the Evangelist Bell Tower and Setting and St Luke's Church and Vicarage,630,NULL
606,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Riccarton Farm Buildings and Setting,NULL,1291,Former Riccarton Farm Buildings and Setting and Dean's Farm Buildings,645,Fendalton
607,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting ,NULL,1294,Dwelling and Setting  and Setting,109,Belfast
608,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Boiler House and Setting,NULL,1295,Former Boiler House and Setting and Wards Brewery,632,NULL
609,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Former Parsonage ",NULL,1297,"Dwelling and Setting, Former Parsonage  and Former Council Stables",633,Lyttelton
610,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1738,15/409200,Former Chorlton Post Office Depot and Setting,1738,1298,Former Chorlton Post Office Depot and Setting and Setting,634,Okains Bay
621,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/7094,15/409200,St Luke's Church and Setting,7094,1311,St Luke's Church and Setting and St Luke's Anglican Church,636,Okains Bay
622,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1909,15/409200,"Commercial Building Fa‡ade and Setting, Former A J Whites ",1909,1313,"Commercial Building Fa‡ade and Setting, Former A J Whites  and Fomer Mckenzie Willis",642,NULL
623,Current,Significant,Not Listed,Unknown,NULL,15/409200,St Peter's Church Lychgate and Setting,NULL,1314,St Peter's Church Lychgate and Setting and St Peter's Church,641,Upper Riccarton
624,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Riccarton Grounds,NULL,1315,Riccarton Grounds,661,Fendalton
632,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/7322,15/409200,Dwelling and Setting,7322,1325,Dwelling and Setting and Setting,733,North New Brighton
633,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/9997,15/409200,Dwelling and Setting,9997,1326,Dwelling and Setting and Setting,734,NULL
634,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3124,15/409200,New City Hotel and Setting,3124,1327,New City Hotel and Setting and Setting,735,NULL
635,Current,Significant,Not Listed,Unknown,NULL,15/409200,J.R. McKenzie Memorial Children's Library and Setting,NULL,1329,J.R. McKenzie Memorial Children's Library and Setting and Setting,737,Upper Riccarton
636,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Halswell War Memorial and Setting,NULL,1330,Halswell War Memorial and Setting and Setting,738,Halswell
637,Current,Significant,Not Listed,Unknown,NULL,15/409200,St Saviour's Church and Setting,NULL,1331,St Saviour's Church and Setting and Setting,739,Lyttelton
638,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/7708,15/409200,Dwelling and Setting,7708,1332,Dwelling and Setting and Setting,740,Wainui
639,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Dudley House ",NULL,1333,"Dwelling and Setting, Dudley House  and Setting",741,Yaldhurst
640,Current,Significant,Not Listed,Unknown,NULL,15/409200,St Mary's Church Lychgate and Setting,NULL,1334,St Mary's Church Lychgate and Setting and St Mary's Halswell Churchyard,751,Halswell
643,Current,High Significance,Not Listed,Unknown,NULL,15/409200,"College House Accommodation Block (South) Stanford, Carrington, Milford, Parr, Warren and Setting",NULL,1337,"College House Accommodation Block (South) Stanford, Carrington, Milford, Parr, Warren and Setting and Setting",777,Ilam
644,Current,High Significance,Not Listed,Unknown,NULL,15/409200,College House Chapel and Setting,NULL,1338,College House Chapel and Setting and Setting,760,Ilam
645,Current,High Significance,Not Listed,Unknown,NULL,15/409200,"College House Accommodation Block (North) Rymer, Chichele, Watts Russell and Setting",NULL,1339,"College House Accommodation Block (North) Rymer, Chichele, Watts Russell and Setting and Setting",755,Ilam
646,Current,High Significance,Not Listed,Unknown,NULL,15/409200,College House Library and Setting,NULL,1340,College House Library and Setting and Setting,750,Ilam
647,Current,High Significance,Not Listed,Unknown,NULL,15/409200,"College House Squash,Court, Workshop, Laundry, Bicycle Sheds and Setting",NULL,1341,"College House Squash,Court, Workshop, Laundry, Bicycle Sheds and Setting and Setting",764,Ilam
652,Current,Significant,Not Listed,Unknown,NULL,15/409200,Sign of the Kiwi Grounds and Setting,NULL,1346,Sign of the Kiwi Grounds and Setting and Sign of the Kiwi,753,Governors Bay
653,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Former Millers Factory and Setting,NULL,1347,Former Millers Factory and Setting and Setting,769,Harewood
654,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Woolston Cemetery,NULL,1348,Woolston Cemetery,776,Woolston
655,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Beckenham Library and Setting,NULL,1349,Former Beckenham Library and Setting and Setting,758,Beckenham
656,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/7406,15/409200,Dwelling and Setting,7406,1350,Dwelling and Setting and Setting,772,Sumner
657,Current,High Significance,Not Listed,Unknown,NULL,15/409200,"Harewood Crematorium, Chapel and Setting",NULL,1351,"Harewood Crematorium, Chapel and Setting and Setting",774,Belfast
658,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former St Albans Automatic Telephone Exchange and Setting,NULL,1352,Former St Albans Automatic Telephone Exchange and Setting and Setting,761,St Albans
667,Current,Significant,Not Listed,Unknown,NULL,15/409200,Triangle Reserve and Setting,NULL,1362,Triangle Reserve and Setting and High Street Triangle,269,NULL
668,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1789,15/409200,Former Landsdowne Stables and Setting,1789,1363,Former Landsdowne Stables and Setting and Setting,782,Halswell
669,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3714,15/409200,Dwelling and Setting,3714,1364,Dwelling and Setting and Setting,781,Merivale
670,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/7408,15/409200,Former Quarantine Barracks and Setting,7408,1365,Former Quarantine Barracks and Setting and Quail Island,780,Diamond Harbour
671,Current,Significant,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/7636,15/409200,Former Girls? Training Hostel and Setting,7636,1366,Former Girls? Training Hostel and Setting and Setting,779,Woolston
672,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/9067,15/409200,Monck's Cave and Setting,9067,1367,Monck's Cave and Setting and Setting,778,Moncks Spur
673,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3118,15/409200,Colonial Motor Company Garage and Setting,3118,1368,Colonial Motor Company Garage and Setting and Setting,783,NULL
674,Current,Significant,Not Listed,Unknown,NULL,15/409200,Registry Office and Setting,NULL,1369,Registry Office and Setting,784,NULL
675,Current,Significant,Not Listed,Building,NULL,NULL,79 Carmen Road,NULL,1370,79 Carmen Road and 79 Carmen Road,785,NULL
676,Current,Significant,Not Listed,Building,NULL,NULL,St Cuthberts Vicarage,NULL,1375,St Cuthberts Vicarage and St Cuthberts Vicarage,790,NULL
677,Current,Significant,Not Listed,Street Furniture,NULL,NULL,Barrington Gate Sugden Street,NULL,1377,Barrington Gate Sugden Street,792,NULL
680,Current,Significant,Not Listed,Building,NULL,NULL,Spreydon Hall,NULL,1376,Spreydon Hall and Spreydon Hall,791,NULL
681,Current,Significant,Not Listed,Building,NULL,NULL,Canterbury Museum Centennial Wing Facade,NULL,1378,Canterbury Museum Centennial Wing Facade,808,NULL
682,Current,Significant,Not Listed,Building,NULL,NULL,Canterbury Museum Roger Duff Wing Facade,NULL,1379,Canterbury Museum Roger Duff Wing Facade,809,NULL
683,Current,Significant,Not Listed,Building,NULL,NULL,2 Norwich Quay,NULL,1372,2 Norwich Quay and 2 Norwich Quay,787,NULL
684,Current,Significant,Historic Area,Unknown,NULL,NULL,Godley Head,NULL,1373,Godley Head and Godley Head,788,NULL
,,,,,,,,,,,,
685,Current,Significant,Not Listed,Building,NULL,NULL,51 Radley Street,NULL,1371,51 Radley Street and 51 Radley Street,786,NULL
686,Current,Significant,Not Listed,Building,NULL,NULL,Bach1,NULL,1380,Bach1 and Taylors Mistake Baches North,794,NULL
687,Current,Significant,Not Listed,Building,NULL,NULL,Bach2,NULL,1381,Bach2 and Taylors Mistake Baches North,795,NULL
688,Current,Significant,Not Listed,Building,NULL,NULL,Bach3,NULL,1382,Bach3 and Taylors Mistake Baches North,796,NULL
689,Current,Significant,Not Listed,Building,NULL,NULL,Bach4,NULL,1383,Bach4 and Taylors Mistake Baches North,797,NULL
690,Current,Significant,Not Listed,Building,NULL,NULL,Bach5,NULL,1384,Bach5 and Taylors Mistake Baches North,798,NULL
691,Current,Significant,Not Listed,Building,NULL,NULL,Bach6,NULL,1385,Bach6 and Taylors Mistake Baches South,799,NULL
692,Current,Significant,Not Listed,Building,NULL,NULL,Bach7,NULL,1386,Bach7 and Taylors Mistake Baches South,800,NULL
693,Current,Significant,Not Listed,Building,NULL,NULL,Bach8,NULL,1387,Bach8 and Taylors Mistake Baches South,801,NULL
694,Current,Significant,Not Listed,Building,NULL,NULL,Bach9,NULL,1388,Bach9 and Taylors Mistake Baches South,802,NULL
695,Current,Significant,Not Listed,Building,NULL,NULL,Bach10,NULL,1389,Bach10 and Taylors Mistake Baches South,803,NULL
696,Current,Significant,Not Listed,Building,NULL,NULL,Bach11,NULL,1390,Bach11 and Taylors Mistake Baches South,804,NULL
697,Current,Significant,Not Listed,Building,NULL,NULL,Bach12,NULL,1391,Bach12 and Bolder Bay Baches,805,NULL
698,Current,Significant,Not Listed,Building,NULL,NULL,Bach13,NULL,1392,Bach13 and Bolder Bay Baches,806,NULL
699,Current,Significant,Not Listed,Building,NULL,NULL,Bach14,NULL,1393,Bach14 and Bolder Bay Baches,807,NULL
