DistrictPlanHeritageItemID,HeritageItemStatus,HeritageItemSignificance,HeritageItemHeritageRegisterCategory,HeritageItemType,HeritageRegisterLink,EDMReference,HeritageItemName,HeritageRegisterNumber,ScheduleReference,HeritagePlaceDescription,HeritageAerialMapNumber,Locality
484,Current,Significant,Not Listed,Unknown,NULL,15/409200,Commercial Building and Setting,NULL,1036,Commercial Building and Setting and 15 Rue Balguerie ,495,Akaroa
485,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1037,Dwelling and Setting and 16 Aubrey Street South,482,Akaroa
496,Current,Significant,Not Listed,Unknown,NULL,15/409200,Commercial Building and Setting,NULL,1071,Commercial Building and Setting and Setting,416,Lyttelton
497,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Former Lyttelton Borough Council Stables and Setting,NULL,1076,Former Lyttelton Borough Council Stables and Setting and Former Council Stables,420,Lyttelton
498,Current,Significant,Not Listed,Unknown,NULL,15/409200,Commercial Building and Setting,NULL,1078,Commercial Building and Setting and 15 London Street,404,Lyttelton
499,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1079,Dwelling and Setting and 11 Bruce Terrace,503,Akaroa
500,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1080,Dwelling and Setting and 89 Rue Lavaud ,542,Akaroa
501,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Women's Rest Room and Setting,NULL,1082,Former Women's Rest Room and Setting and Plunket Rooms,536,Akaroa
502,Current,High Significance,Not Listed,Unknown,NULL,15/409200,St Peter's Church and Setting,NULL,1083,St Peter's Church and Setting and 834 Gebbies Pass Road,332,Governors Bay
503,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1086,Dwelling and Setting and 27 Sumner Road,440,Lyttelton
514,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1104,Dwelling and Setting and 49 Canterbury Street,402,Lyttelton
515,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1105,Dwelling and Setting and 47 Canterbury Street,399,Lyttelton
516,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1106,Dwelling and Setting and Dwelling,400,Lyttelton
517,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1108,Dwelling and Setting and 59 Oxford Street,430,Lyttelton
518,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1110,Dwelling and Setting and 28 Winchester Street,396,Lyttelton
519,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1111,Dwelling and Setting and 32 Winchester Street,394,Lyttelton
520,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1112,Dwelling and Setting and 34 Winchester Street,391,Lyttelton
521,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1113,Dwelling and Setting and 36 Winchester Street,390,Lyttelton
533,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1128,Dwelling and Setting and 7 Coleridge Terrace,373,Lyttelton
534,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1129,Dwelling and Setting and 47 Jacksons Road,375,Lyttelton
535,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Devonia",NULL,1131,"Dwelling and Setting, Devonia and 10A Bridle Path",370,Lyttelton
536,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1132,Dwelling and Setting and 2 Cunningham Terrace,371,Lyttelton
537,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting/ Former St Saviour's Vicarage,NULL,1133,Dwelling and Setting/ Former St Saviour's Vicarage and 2 Brittan Terrace,365,Lyttelton
538,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1134,Dwelling and Setting and 26 Godley Quay,363,Lyttelton
539,Current,Significant,Not Listed,Unknown,NULL,15/409200,Erskine Point Gun Emplacement and Setting ,NULL,1136,Erskine Point Gun Emplacement and Setting  and Magazine Bay Gun Emplacement,351,Lyttelton
550,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1150,Dwelling and Setting and 38 Rue Balguerie ,593,Akaroa
551,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1151,Dwelling and Setting and 46 Rue Balguerie ,601,Akaroa
552,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1152,Dwelling and Setting and 47 Rue Balguerie ,596,Akaroa
553,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Duvauchelle Saleyards Building and Setting,NULL,1157,Former Duvauchelle Saleyards Building and Setting and Sale Yard Building,475,Duvauchelle
554,Current,Significant,Not Listed,Unknown,NULL,15/409200,Little River War Memorial Gates and Setting,NULL,1160,Little River War Memorial Gates and Setting and 4313 Christchurch Akaroa Road,464,Little River
555,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Quarantine Cemetery ,NULL,1161,Quarantine Cemetery ,721,Diamond Harbour
556,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Little Port Cooper School and Setting,NULL,1162,Former Little Port Cooper School and Setting and Former School Little Port Cooper,467,Port Levy
557,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Sign of the Packhorse and Setting,NULL,1164,Sign of the Packhorse and Setting and Sign of the Packhorse,348,Motukarara
567,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1175,Dwelling and Setting and 25 Ripon Street,418,Lyttelton
568,Current,Significant,Not Listed,Unknown,NULL,15/409200,Cobblestone Gutters and Setting,NULL,1179,Cobblestone Gutters and Setting and Oxford Street Gutters,410,Lyttelton
569,Current,Significant,Not Listed,Unknown,NULL,15/409200,Governors Bay Road Bridge/Culvert and Setting,NULL,1180,Governors Bay Road Bridge/Culvert and Setting and Setting,696,Lyttelton
570,Current,Significant,Not Listed,Unknown,NULL,15/409200,Bridge/Culvert and Setting,NULL,1181,Bridge/Culvert and Setting and Setting,695,Governors Bay
571,Current,Significant,Not Listed,Unknown,NULL,15/409200,Bridge/Culvert and Setting,NULL,1182,Bridge/Culvert and Setting and Setting,694,Governors Bay
572,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Little River Railway Station and Setting,NULL,1183,Former Little River Railway Station and Setting and Little River Railway Station,462,Little River
573,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Okains Bay School and Setting,NULL,1184,Former Okains Bay School and Setting and 1147 Okains Bay Road,623,Okains Bay
574,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Takamatua School and Setting,NULL,1185,Former Takamatua School and Setting and 6706 Christchurch Akaroa Road,590,Akaroa
575,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1187,Dwelling and Setting and 3 Winchester Street,417,Lyttelton
576,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1188,Dwelling and Setting and Dwelling,384,Lyttelton
587,Current,Significant,Not Listed,Unknown,NULL,15/409200,Cannon and Setting,NULL,1201,Cannon and Setting and Main Akaroa Wharf,494,Akaroa
588,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Seat, Shelter and Setting, The Fisherman's Rest ",NULL,1202,"Seat, Shelter and Setting, The Fisherman's Rest  and Main Akaroa Wharf",502,Akaroa
589,Current,High Significance,Historic Area,Unknown,http://www.heritage.org.nz/the-list/details/7483,15/409200,Bridle Path ,7483,1203,Bridle Path ,699,Heathcote/Lyttelton
590,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Omarama",NULL,1204,"Dwelling and Setting, Omarama and 53 Cressy Terrace",352,Lyttelton
