localtime, kiteid, temperature, humidity, pressure, luminosity, co2, sound
2016-07-26 20:06:16.465361,ch_kite_0003,7.0,76.6,97815.8,0.0,455.2,13462.0
2016-07-26 20:06:46.124353,ch_kite_0004,7.0,79.6,97720.2,0.0,465.4,13346.6
2016-07-26 20:07:14.044193,ch_kite_0001,8.0,80.0,97622.0,14.0,425.4,13388.8
2016-07-26 20:07:28.641103,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 20:07:57.051163,ch_kite_0003,7.0,76.0,97812.6,0.0,444.4,13498.4
2016-07-26 20:08:26.680813,ch_kite_0004,7.0,79.6,97712.2,0.0,468.2,13369.6
2016-07-26 20:08:55.020127,ch_kite_0001,8.0,80.0,97612.4,14.0,420.8,13429.4
2016-07-26 20:09:09.867924,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 20:09:39.339330,ch_kite_0003,7.0,76.6,97809.8,0.0,447.6,13462.8
2016-07-26 20:10:07.786741,ch_kite_0004,7.0,79.2,97703.8,0.0,463.4,13395.4
2016-07-26 20:10:37.196957,ch_kite_0001,8.0,80.0,97617.6,14.0,412.4,13387.0
2016-07-26 20:10:51.840980,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 20:11:22.085094,ch_kite_0003,7.0,76.0,97804.6,0.0,446.4,13419.0
2016-07-26 20:11:52.143101,ch_kite_0004,7.0,79.6,97703.0,0.0,461.0,13357.8
2016-07-26 20:12:21.932223,ch_kite_0001,8.0,80.0,97604.4,14.0,423.8,13871.4
2016-07-26 20:12:37.710605,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 20:13:08.028922,ch_kite_0003,7.6,75.8,97807.0,0.0,454.4,13449.4
2016-07-26 20:13:37.456554,ch_kite_0004,7.0,80.0,97697.0,0.0,464.2,13308.2
2016-07-26 20:14:07.225297,ch_kite_0001,8.0,79.8,97606.0,14.0,429.6,13383.4
2016-07-26 20:14:22.303547,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 20:14:52.337309,ch_kite_0003,7.6,76.0,97805.0,0.0,454.8,13489.6
2016-07-26 20:15:21.992256,ch_kite_0004,7.0,79.8,97693.4,0.0,463.4,13358.0
2016-07-26 20:15:50.800953,ch_kite_0001,8.0,79.2,97600.0,14.0,423.6,13371.8
2016-07-26 20:16:05.600144,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
2016-07-26 20:16:34.490658,ch_kite_0003,7.6,76.0,97799.4,0.0,452.6,13502.6
2016-07-26 20:17:03.941849,ch_kite_0004,7.0,79.6,97689.0,0.0,463.8,13321.4
2016-07-26 20:17:33.810371,ch_kite_0001,8.0,79.8,97601.6,14.0,431.2,13420.2
2016-07-26 20:17:48.949983,ch_kite_0002,-1,-1,-1,-33.0,-1,-1
