ParkingZoneID,drvParkingSpaces,Configuration,RestrictedByUse,RestrictedByUseCode,RestrictedByDurationCode,RestrictedByDurationDescription,RestrictedByDuration,Revenue,RestrictedByTimeOfDay,ParkingDailyRate,ParkingHourlyRate,MeterHoursOfOperation,ObservationDate
5958,NULL,Parallel,No restriction,None,None,Unrestricted,NULL,Not metered,Not restricted,NULL,NULL,NULL,34:11.0
5611,NULL,Not applicable,No restriction,None,None,Unrestricted,NULL,Not applicable,Not applicable,NULL,NULL,NULL,13:47.0
5612,NULL,Not applicable,No restriction,None,None,Unrestricted,NULL,Not applicable,Not applicable,NULL,NULL,NULL,13:47.0
5613,NULL,Not applicable,No restriction,None,None,Unrestricted,NULL,Not applicable,Not applicable,NULL,NULL,NULL,13:47.0
5614,NULL,Not applicable,No restriction,None,None,Unrestricted,NULL,Not applicable,Not applicable,NULL,NULL,NULL,13:47.0
5615,NULL,Parallel,No restriction,None,None,Unrestricted,NULL,Not metered,Not applicable,NULL,NULL,NULL,00:00.0
5618,NULL,Parallel,No restriction,None,None,Unrestricted,NULL,Not metered,Not restricted,NULL,NULL,NULL,31:53.0
5619,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5620,NULL,Parallel,No restriction,None,None,Unrestricted,NULL,Not metered,Not restricted,NULL,NULL,NULL,31:53.0
5621,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5959,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5960,NULL,Parallel,No restriction,None,None,Unrestricted,NULL,Not metered,Not restricted,NULL,NULL,NULL,34:11.0
5961,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5814,NULL,Parallel,No restriction,None,P120,120 minutes maximum,120,Metered,Not restricted,Not applicable,$3.10,Mon-Sun 9am-6pm,00:00.0
5815,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5817,NULL,Perpendicular,No restriction,None,P120,120 minutes maximum,120,Metered,Not restricted,Not applicable,$3.10,Mon-Sun 9am-6pm,18:49.0
5962,NULL,Parallel,No restriction,None,None,Unrestricted,NULL,Not metered,Not restricted,NULL,NULL,NULL,34:11.0
5963,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5818,NULL,Not applicable,No parking,NP,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5819,NULL,Not applicable,No parking,NP,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,00:00.0
5821,NULL,Perpendicular,No restriction,None,P120,120 minutes maximum,120,Metered,Not restricted,Not applicable,$3.10,Mon-Sun 9am-6pm,29:47.8
5822,NULL,Not applicable,No parking,NP,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,29:48.0
5823,NULL,Not applicable,Access/vehicle crossing,A,N/A,Not applicable,NULL,Not applicable,Not applicable,NULL,NULL,NULL,06:15.0
