tempParkAssetID,Feature,Use,ExternalBuildingMaterial,InternalBuildingMaterial,RoofMaterial,BuildingAreaM2,NumberOfCubicles,NumberOfAccessibleUnits,Comment
96974,Building - Toilet/Pavilion: Pavilion,,,,,,,,
97623,Building - Toilet/Pavilion: Pavilion,,,,,,,,
120544,Building - Toilet/Pavilion: Pavilion,,,,,,,,
121488,Building - Toilet/Pavilion: Toilet,,,,,,,,
121544,Building - Toilet/Pavilion: Toilet,,,,,,,,
121545,Building - Toilet/Pavilion: Toilet,,,,,,,,
121546,Building - Toilet/Pavilion: Toilet,,,,,,,,
121547,Building - Toilet/Pavilion: Toilet,,,,,,,,
121548,Building - Toilet/Pavilion: Toilet,,,,,,,,
121549,Building - Toilet/Pavilion: Toilet,,,,,,,,
121551,Building - Toilet/Pavilion: Toilet,,,,,,,,
121589,Building - Toilet/Pavilion: Toilet,,,,,,,,
121591,Building - Toilet/Pavilion: Pavilion,,,,,,,,
121594,Building - Toilet/Pavilion: Toilet,,,,,,,,
121733,Building - Toilet/Pavilion: Toilet,,,,,,,,
121735,Building - Toilet/Pavilion: Toilet,,,,,,,,
121736,Building - Toilet/Pavilion: Pavilion &Toilet,,,,,,,,
121738,Building - Toilet/Pavilion: Pavilion &Toilet,,,,,,,,
