Incident ID, Reported on, Incident type, Address
134669,15/04/2016 at 00:09,Graffiti,"439, Barbadoes Street, Edgeware, 8013, Canterbury"
134671,15/04/2016 at 00:11,Graffiti,"439, Barbadoes Street, Edgeware, 8013, Canterbury"
134672,15/04/2016 at 00:12,Roading/Streets,"433, Barbadoes Street, Edgeware, 8013, Canterbury"
134673,15/04/2016 at 00:13,Graffiti,"433, Barbadoes Street, Edgeware, 8013, Canterbury"
134675,15/04/2016 at 00:14,Graffiti,"431, Barbadoes Street, Edgeware, 8013, Canterbury"
134676,15/04/2016 at 00:17,Roading/Streets,"8, Packe Street, Edgeware, 8013, Canterbury"
134677,15/04/2016 at 00:20,Graffiti,"406–418, Barbadoes Street, Christchurch, 8013, Canterbury"
134680,15/04/2016 at 00:22,Graffiti,"407, Barbadoes Street, Christchurch, 8013, Canterbury"
134683,15/04/2016 at 00:23,Graffiti,"34–38, Melrose Street, Christchurch, 8013, Canterbury"
134684,15/04/2016 at 00:27,Graffiti,"384, Barbadoes Street, Christchurch, 8013, Canterbury"
134686,15/04/2016 at 00:28,Graffiti,"385, Barbadoes Street, Christchurch, 8013, Canterbury"
134687,15/04/2016 at 00:30,Graffiti,"385, Barbadoes Street, Christchurch, 8013, Canterbury"
134688,15/04/2016 at 00:31,Rubbish/Recycling,"43 Marlow Rd, Aranui, Christchurch 8061, New Zealand"
134689,15/04/2016 at 00:31,Graffiti,"343, Cambridge Terrace, Christchurch, 8013, Canterbury"
134690,15/04/2016 at 00:33,Graffiti,"343, Cambridge Terrace, Christchurch, 8013, Canterbury"
134695,15/04/2016 at 00:38,Graffiti,"343, Cambridge Terrace, Christchurch, 8013, Canterbury"
134696,15/04/2016 at 00:40,Graffiti,"324, Oxford Terrace, Christchurch, 8011, Canterbury"
134698,15/04/2016 at 00:41,Graffiti,"324, Oxford Terrace, Christchurch, 8011, Canterbury"
134700,15/04/2016 at 00:43,Graffiti,"324, Oxford Terrace, Christchurch, 8011, Canterbury"
