tempParkAssetID,FeatureCategory,TableSurfaceFinish,tableConstructionMethod,Comment
48548,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
48788,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
49221,Furniture - Table,Natural,Wood with Wooden Frame,
49416,Furniture - Table,Painted,Wood with Wooden Frame,
49419,Furniture - Table,Natural,Wood with Wooden Frame,
49420,Furniture - Table,Painted,Wood with Wooden Frame,
49424,Furniture - Table,Natural,Wood with Wooden Frame,
49920,Furniture - Table,Stained & Painted,Wood with Wooden Frame,
50319,Furniture - Table,Natural,Wood with Metal Frame,
50637,Furniture - Table,Natural,Wood with Wooden Frame,
51673,Furniture - Table,Natural,Wood with Wooden Frame,
52375,Furniture - Table,Stained - Dark,Wood with Metal Frame,
52412,Furniture - Table,Stained - Dark,Wood with Metal Frame,
54058,Furniture - Table,Natural,Wood with Wooden Frame,
54061,Furniture - Table,Natural,Wood with Wooden Frame,
55020,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
55670,Furniture - Table,Painted,Wood with Wooden Frame,
55673,Furniture - Table,Painted,Wood with Wooden Frame,
55972,Furniture - Table,Painted,Wood with Wooden Frame,
56107,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
56606,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
56817,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
56913,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
56925,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
57055,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
57089,Furniture - Table,Painted,Wood with Wooden Frame,
57168,Furniture - Table,Painted,Wood with Wooden Frame,
57175,Furniture - Table,Natural,Wood with Wooden Frame,
57178,Furniture - Table,Stained - Clear,Wood with Wooden Frame,
57240,Furniture - Table,Painted,Wood with Wooden Frame,
57248,Furniture - Table,Painted,Wood with Wooden Frame,
57647,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
57652,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
57712,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
57747,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
58029,Furniture - Table,Painted,Wood with Wooden Frame,
59259,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
59976,Furniture - Table,Natural,Wood with Wooden Frame,Change asset type to wood with metal frame 
60027,Furniture - Table,Painted,Wood with Wooden Frame,
60214,Furniture - Table,Natural,Wood with Wooden Frame,
60215,Furniture - Table,Natural,Wood with Wooden Frame,
61403,Furniture - Table,Natural,Wood with Wooden Frame,
61407,Furniture - Table,Natural,Wood with Wooden Frame,
61496,Furniture - Table,Stained - Clear,Wood with Wooden Frame,
61520,Furniture - Table,Natural,Wood with Wooden Frame,
61528,Furniture - Table,Natural,Wood with Wooden Frame,
61915,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
63689,Furniture - Table,Natural,Wood with Wooden Frame,
63699,Furniture - Table,Natural,Wood with Wooden Frame,
63703,Furniture - Table,Natural,Wood with Wooden Frame,
63741,Furniture - Table,Natural,Wood with Wooden Frame,
63749,Furniture - Table,Natural,Wood with Wooden Frame,
64161,Furniture - Table,Natural,Wood with Wooden Frame,
64244,Furniture - Table,Natural,Wood with Wooden Frame,
64246,Furniture - Table,Natural,Wood with Wooden Frame,
64935,Furniture - Table,Stained - Dark,Wood with Metal Frame,
64939,Furniture - Table,Stained - Dark,Wood with Metal Frame,
65377,Furniture - Table,Painted,Wood with Wooden Frame,
65387,Furniture - Table,Painted,Wood with Wooden Frame,
66119,Furniture - Table,Natural,Wood with Wooden Frame,"May be owned by CityCare, as its used for their lunches."
66570,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
67283,Furniture - Table,Natural,Wood with Metal Frame,graffiti
67737,Furniture - Table,Natural,Wood with Wooden Frame,
68064,Furniture - Table,Painted,Wood with Wooden Frame,
68068,Furniture - Table,Painted,Wood with Wooden Frame,
69174,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
69221,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
70362,Furniture - Table,Natural,Wood with Metal Frame,
70811,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
71097,Furniture - Table,Natural,Wood with Wooden Frame,
71537,Furniture - Table,Stained - Dark,Wood with Wooden Frame,
71551,Furniture - Table,Natural,Wood with Wooden Frame,
72321,Furniture - Table,Natural,Wood with Metal Frame,
72322,Furniture - Table,Natural,Wood with Metal Frame,
72325,Furniture - Table,Natural,Wood with Metal Frame,
72326,Furniture - Table,Natural,Wood with Metal Frame,
72393,Furniture - Table,Natural,Wood with Wooden Frame,
72691,Furniture - Table,Painted,Wood with Metal Frame,
72694,Furniture - Table,Powder Coated/Baked Enamel,Wood with Metal Frame,
73551,Furniture - Table,Painted,Wood with Metal Frame,
73566,Furniture - Table,Painted,Wood with Metal Frame,
73799,Furniture - Table,Stained - Clear,Wood with Metal Frame,
73805,Furniture - Table,Natural,Wood with Metal Frame,
73808,Furniture - Table,Natural,Wood with Metal Frame,
73810,Furniture - Table,Natural,Wood with Metal Frame,
73847,Furniture - Table,Natural,Wood with Metal Frame,
74022,Furniture - Table,Natural,Wood with Wooden Frame,
74221,Furniture - Table,Natural,Wood with Metal Frame,
74224,Furniture - Table,Natural,Wood with Metal Frame,
74242,Furniture - Table,Natural,Wood with Wooden Frame,
74243,Furniture - Table,Natural,Wood with Wooden Frame,
78150,Furniture - Table,,,
78174,Furniture - Table,,,
78175,Furniture - Table,,,
78176,Furniture - Table,,,
78177,Furniture - Table,,,
78178,Furniture - Table,,,
78179,Furniture - Table,,,
78280,Furniture - Table,,,
78281,Furniture - Table,,,
78282,Furniture - Table,,,
82457,Furniture - Table,,,
82745,Furniture - Table,,,
82765,Furniture - Table,,,
82766,Furniture - Table,,,
82767,Furniture - Table,,,
82834,Furniture - Table,,,
82842,Furniture - Table,,,
82845,Furniture - Table,,,
82852,Furniture - Table,,,
82872,Furniture - Table,,,
82881,Furniture - Table,,,
82902,Furniture - Table,,,
82910,Furniture - Table,,,
82911,Furniture - Table,,,
82912,Furniture - Table,,,
82916,Furniture - Table,,,
82917,Furniture - Table,,,
82919,Furniture - Table,,,
82960,Furniture - Table,,,
82963,Furniture - Table,,,
82977,Furniture - Table,,,
83061,Furniture - Table,,,
83062,Furniture - Table,,,
83063,Furniture - Table,,,
83093,Furniture - Table,,,
83097,Furniture - Table,,,
83182,Furniture - Table,,,
83183,Furniture - Table,,,
83252,Furniture - Table,,,
84996,Furniture - Table,,,
85016,Furniture - Table,,,
85124,Furniture - Table,,,
85133,Furniture - Table,,,
85146,Furniture - Table,,,
85290,Furniture - Table,,,
85308,Furniture - Table,,,
85327,Furniture - Table,,,
85331,Furniture - Table,,,
85429,Furniture - Table,,,
86209,Furniture - Table,,,
87290,Furniture - Table,,,
87301,Furniture - Table,,,
87303,Furniture - Table,,,
87304,Furniture - Table,,,
87315,Furniture - Table,,,
87321,Furniture - Table,,,
87324,Furniture - Table,,,
87327,Furniture - Table,,,
87329,Furniture - Table,,,
87330,Furniture - Table,,,
87331,Furniture - Table,,,
87332,Furniture - Table,,,
87333,Furniture - Table,,,
87338,Furniture - Table,,,
87341,Furniture - Table,,,
87366,Furniture - Table,,,
87367,Furniture - Table,,,
87371,Furniture - Table,,,
87372,Furniture - Table,,,
87373,Furniture - Table,,,
87379,Furniture - Table,,,
87393,Furniture - Table,,,
87395,Furniture - Table,,,
87401,Furniture - Table,,,
87412,Furniture - Table,,,
87416,Furniture - Table,,,
87417,Furniture - Table,,,
87421,Furniture - Table,,,
87433,Furniture - Table,,,
87435,Furniture - Table,,,
87438,Furniture - Table,,,
